patient_id,first_name,last_name,ssn,dob,age,phone,email,street,city,state,zip,mrn,diagnosis,visit_date,blood_pressure,heart_rate,temperature_f,weight_kg,height_cm,glucose_mg_dl,cholesterol_mg_dl
P0001,Linda,Smith,859-45-5012,1979-09-30,46,555-854-2679,linda.smith87@email.com,9035 Main Dr,Fort Worth,MA,13905,MRN198246,Chronic Kidney Disease,2025-08-01,154/98,61,98.4,100.1,194,177,206
P0002,Mark,Jackson,384-10-3615,1953-06-25,72,555-384-3547,mark.jackson28@email.com,5614 Main St,Jacksonville,NY,57052,MRN988662,Hyperlipidemia,2025-01-23,123/62,89,98.3,118.1,174,90,291
P0003,Charles,Clark,743-89-6925,1934-09-14,91,555-821-2139,charles.clark6@email.com,3833 Maple St,San Antonio,NY,59823,MRN391476,Atrial Fibrillation,2025-01-07,136/70,83,97.9,96.9,194,88,193
P0004,Paul,White,350-30-8573,1959-07-30,66,555-755-4598,paul.white88@email.com,5413 Main Ave,New York,AZ,62581,MRN380746,Asthma,2025-08-12,162/105,80,97.5,84.9,191,187,186
P0005,Thomas,Jones,352-81-9830,1974-02-15,51,555-538-7543,thomas.jones47@email.com,3693 Oak Dr,Charlotte,NY,16175,MRN214975,Coronary Artery Disease,2025-01-11,110/110,87,98.5,76.9,188,189,285
P0006,Thomas,Moore,981-11-2876,1939-08-06,86,555-887-6573,thomas.moore15@email.com,4908 Pine Ave,Columbus,MA,44522,MRN624902,Hypothyroidism,2025-08-29,154/66,100,97.7,94.7,188,120,189
P0007,Lisa,Harris,265-79-9689,2007-01-31,18,555-431-9005,lisa.harris3@email.com,1932 Maple Rd,San Antonio,MA,41571,MRN694916,Asthma,2025-10-16,152/64,94,98.9,59.0,180,112,217
P0008,Kimberly,Ramirez,721-64-4470,1938-01-01,87,555-305-6107,kimberly.ramirez52@email.com,6218 Pine Dr,Columbus,NY,42493,MRN335612,Asthma,2025-06-08,92/97,95,97.6,65.4,154,85,208
P0009,Robert,Lewis,132-52-2160,1942-08-20,83,555-385-8953,robert.lewis28@email.com,8934 Oak Dr,Seattle,FL,41850,MRN922733,Stroke,2025-05-04,114/66,66,98.6,74.8,176,189,163
P0010,Michael,Johnson,512-53-2790,1976-09-03,49,555-294-9786,michael.johnson58@email.com,2396 Pine Ave,San Diego,FL,42742,MRN179046,Atrial Fibrillation,2025-02-20,102/63,94,99.1,117.8,165,112,254
P0011,Ashley,Thomas,318-61-1960,1986-05-28,39,555-102-7396,ashley.thomas34@email.com,7554 Maple Blvd,Indianapolis,WA,73788,MRN262316,Chronic Kidney Disease,2025-06-30,117/63,97,98.8,54.3,170,84,162
P0012,Donna,Thomas,614-77-3579,2000-03-19,25,555-182-4044,donna.thomas9@email.com,9849 Main Ave,Jacksonville,NY,84668,MRN358175,UTI,2025-01-28,95/99,65,98.0,90.9,183,150,216
P0013,Susan,Perez,833-50-4910,1974-05-23,51,555-234-5915,susan.perez59@email.com,5280 Main St,Columbus,NC,83792,MRN204837,Asthma,2025-02-26,117/92,76,97.3,74.4,154,132,244
P0014,Charles,Garcia,548-79-5956,1940-12-15,85,555-783-5905,charles.garcia85@email.com,1797 Oak Rd,Los Angeles,NY,82512,MRN262998,Anxiety Disorder,2025-07-07,167/73,81,97.5,94.4,166,199,275
P0015,Thomas,Lewis,966-16-2512,1953-07-28,72,555-145-1058,thomas.lewis43@email.com,2243 Cedar Rd,Phoenix,CO,67912,MRN678478,Back Pain,2025-04-24,161/60,67,97.2,111.8,159,79,244
P0016,Donna,Moore,251-65-3088,2002-06-30,23,555-473-1653,donna.moore46@email.com,3541 Cedar Ave,Los Angeles,AZ,83385,MRN526117,Cellulitis,2025-09-10,120/70,71,99.2,51.7,171,175,213
P0017,Sarah,Garcia,906-99-2771,1959-11-26,66,555-979-8711,sarah.garcia29@email.com,3369 Pine Rd,Dallas,CA,39219,MRN124813,Migraine,2025-08-22,141/81,77,99.2,117.7,167,159,280
P0018,Betty,Perez,963-78-6425,2004-10-05,21,555-998-5279,betty.perez23@email.com,9612 Maple St,Los Angeles,NC,66959,MRN462479,Osteoporosis,2025-06-21,145/98,92,97.3,113.0,162,135,161
P0019,Margaret,Smith,632-78-4228,1961-05-08,64,555-171-6409,margaret.smith80@email.com,5243 Cedar St,Dallas,OH,50538,MRN799287,Sleep Apnea,2025-06-14,141/104,78,98.4,63.4,192,167,194
P0020,Michelle,Jackson,408-61-9977,2007-07-01,18,555-393-4443,michelle.jackson56@email.com,9602 Elm Rd,Columbus,FL,67954,MRN808446,Chronic Kidney Disease,2025-03-12,150/110,70,98.6,69.9,192,155,173
P0021,Jessica,Perez,417-38-4262,1989-11-25,36,555-147-5011,jessica.perez61@email.com,1293 Pine Blvd,Seattle,CA,60328,MRN618392,Obesity,2025-07-27,108/101,60,99.2,110.2,156,178,206
P0022,Elizabeth,Sanchez,812-76-8611,2001-02-22,24,555-355-2988,elizabeth.sanchez59@email.com,2284 Pine Dr,Indianapolis,NC,51588,MRN891937,Atrial Fibrillation,2025-01-19,154/87,95,98.1,61.1,180,185,216
P0023,Jessica,Clark,752-45-9540,1945-02-01,80,555-344-5499,jessica.clark57@email.com,1369 Cedar Rd,San Antonio,TX,54020,MRN435239,Pneumonia,2025-10-18,107/69,74,98.0,60.7,163,86,256
P0024,Anthony,Hernandez,655-69-7812,2000-08-21,25,555-952-7883,anthony.hernandez50@email.com,9669 Cedar St,Seattle,PA,72518,MRN106182,Hyperlipidemia,2025-06-29,139/86,94,98.9,88.2,188,126,274
P0025,Joseph,Rodriguez,546-72-1475,1958-06-26,67,555-784-7624,joseph.rodriguez93@email.com,2804 Pine Ave,Denver,OH,13534,MRN513160,UTI,2025-02-13,174/61,65,98.6,59.5,179,116,162
P0026,Thomas,Gonzalez,435-37-8449,1966-06-24,59,555-879-7211,thomas.gonzalez36@email.com,7006 Maple St,Charlotte,MA,80702,MRN154615,Hyperlipidemia,2025-08-06,173/64,62,98.9,116.5,162,75,189
P0027,Jessica,Jones,584-95-2874,1935-09-01,90,555-576-5198,jessica.jones99@email.com,6143 Oak Dr,Denver,CO,25012,MRN915573,Heart Failure,2025-06-22,103/97,61,99.3,90.3,174,171,200
P0028,Robert,Jackson,807-90-4978,1993-12-15,31,555-891-5941,robert.jackson88@email.com,9937 Main Dr,New York,AZ,79827,MRN549186,Migraine,2025-05-23,98/92,81,97.0,79.4,181,97,260
P0029,Lisa,Lee,948-68-3506,1952-09-17,73,555-851-9548,lisa.lee84@email.com,4525 Elm Dr,Charlotte,FL,67091,MRN965845,Osteoporosis,2025-01-29,124/80,75,99.1,56.1,178,132,268
P0030,Andrew,Martin,784-58-6511,2004-03-25,21,555-971-6325,andrew.martin24@email.com,8088 Oak Rd,San Diego,AZ,46655,MRN725113,Back Pain,2025-07-10,161/60,93,99.4,56.0,176,195,292
P0031,Jessica,Thompson,587-92-9041,1950-12-09,75,555-195-5820,jessica.thompson29@email.com,6725 Cedar Ave,Dallas,WA,86225,MRN486945,Stroke,2025-02-18,157/82,87,99.5,88.5,172,186,219
P0032,Karen,Rodriguez,336-25-4155,1967-10-13,58,555-860-9779,karen.rodriguez98@email.com,3133 Oak Ave,Charlotte,TX,87278,MRN897135,Cancer,2025-01-27,126/66,72,97.7,75.3,169,73,286
